name,id,year,genre,mode
Luciano,lu,2022,rap,1
Beautiful Girl,bg,2022,rap,2
Sean Kingston,sk,2007,rap,1
Beautiful Girls,bgs,2007,rap,2
Ben E. King,bek,1961,blues,1
Elton John und Dua Lipa,ejdl,2021,pop,1
Cold Heart,ch,2021,pop,2
Elton John,ej,1972,pop,1
Chicken Lips,cl,2000,electronic,1
DJ Antoine featuring TheBeatShakers,dja,2012,electronic,1
Ma Cherie1,mc,2012,electronic,2
Alberto featuring The BeatShakers,alb,2008,electronic,1
Ion Miles featuring BHZ featuring SiraOne,ibs,2022,rap,1
Powerade,pr,2022,rap,2
MGMT,mg,2007,indie,1
Olivia Rodrigo,or,2021,pop,1
Good4you,gy,2021,pop,2
Paramore,pa,2007,rock,1
ACRAZE featuring Cherish,ac,2021,house,1
Do It to it,di,2021,house,2
Cherish featuring Sean Paul,cs,2006,RÂ´nB,1